Latitude,Longitude,Name,Link
43.63,-79.399,Toronto: City Centre Airport,https://on.windy.com/6d01g
43.636,-79.404,Fort York: Lake Shore Blvd W near Remembrance Dr,https://on.windy.com/6d01h
43.637,-79.4,Bathurst Quay: Lake Shore W near Bathurst St,https://on.windy.com/6d01i
43.638,-79.395,CityPlace: Lake Shore Blvd W near Spadina Ave,https://on.windy.com/6d01k
43.639,-79.392,CityPlace: Lake Shore W near Spadina Ave,https://on.windy.com/6d01m
43.64,-79.387,Toronto: Rees Street - Gardiner Expressway,https://on.windy.com/6d01a
43.64,-79.383,Harbourfront: Lake Shore W near Lower Simcoe St,https://on.windy.com/6d018
43.642,-79.379,South Core: Gardiner Expwy near York St,https://on.windy.com/6d01p
43.643,-79.378,South Core: Lake Shore Blvd W near Bay St,https://on.windy.com/6d01q
43.644,-79.376,South Core: Lake Shore Blvd near Yonge St,https://on.windy.com/6d01r
43.646,-79.37,St. Lawrence: Lake Shore Blvd E near Lower Jarvis St,https://on.windy.com/6d01t
43.646,-79.366,Old Toronto: Lake Shore E near Lower Shelbourne,https://on.windy.com/6d01v
43.648,-79.362,Distillery District: Lake Shore Blvd E near Parliment St,https://on.windy.com/6d023
43.648,-79.36,Distillery District: Gardiner Expwy near Cherry St,https://on.windy.com/6d024
43.649,-79.357,Distillery District: Lake Shore E near Cherry St,https://on.windy.com/6d025
43.648,-79.355,Distillery District: Lake Shore E near Cherry St,https://on.windy.com/6d028
43.651,-79.347,Old Toronto: Lake Shore Blvd E near Don Roadway,https://on.windy.com/6d029
43.659,-79.329,Leslieville: Lake Shore E near Leslie St,https://on.windy.com/6d04i
43.662,-79.315,Old Toronto: Lake Shore E near Coxwell Ave,https://on.windy.com/6d04j
43.657,-79.352,Corktown: Don Valley Parkway near Eastern Ave,https://on.windy.com/6d04k
43.638,-79.401,Fort York: Gardiner Expwy near Bathurst St,https://on.windy.com/6d04l
43.636,-79.407,Fort York: Lake Shore W near - Blvd,https://on.windy.com/6d04m
43.634,-79.409,Old Toronto: Lake Shore W near Strachan Ave,https://on.windy.com/6d04n
43.633,-79.41,Old Toronto: Lake Shore W near - Place Blvd,https://on.windy.com/6d04p
43.637,-79.411,Old Toronto: Gardiner Expwy near Strachan Ave,https://on.windy.com/6d04s
43.631,-79.419,Exhibition Place: Lake Shore W near - Dr,https://on.windy.com/6d04u
43.634,-79.422,Exhibition Place: Gardiner Expwy near Dufferin St,https://on.windy.com/6d04v
43.63,-79.428,Old Toronto: Lake Shore W east of British Columbia Rd,https://on.windy.com/6d051
43.632,-79.43,Old Toronto: Lake Shore W west of British Columbia Rd,https://on.windy.com/6d053
43.632,-79.431,Old Toronto: Lake Shore W near British Columbia Rd,https://on.windy.com/6d055
43.633,-79.435,Old Toronto: Lake Shore W near Jameson Ave,https://on.windy.com/6d057
43.633,-79.436,Old Toronto: Lake Shore W near Oarsman Dr,https://on.windy.com/6d059
43.634,-79.438,Old Toronto: Gardiner Expwy near Dowling Ave,https://on.windy.com/6d05a
43.637,-79.45,Old Toronto: Lake Shore W near Sunnyside Beach,https://on.windy.com/6d05b
43.638,-79.454,Old Toronto: Lake Shore W near Parkside Dr,https://on.windy.com/6d05d
43.638,-79.456,Old Toronto: Lake Shore W east of Colborne Lodge Dr,https://on.windy.com/6d05g
43.638,-79.459,Old Toronto: Lake Shore W near Colborne Lodge Dr,https://on.windy.com/6d05h
43.638,-79.462,Old Toronto: Gardiner Expwy near Ellis Ave,https://on.windy.com/6d05i
43.636,-79.465,Old Toronto: Lake Shore W near Ellis Ave,https://on.windy.com/6d05k
43.631,-79.475,Etobicoke: Lake Shore W near Palace Pier,https://on.windy.com/6d063
43.631,-79.476,Etobicoke: Gardiner Expwy near Palace Pier Crt,https://on.windy.com/6d064
43.629,-79.479,Etobicoke: Lake Shore W west of Palace Pier,https://on.windy.com/6d065
43.627,-79.482,Etobicoke: Gardiner Expwy near Park Lawn Rd,https://on.windy.com/6d067
43.623,-79.481,Etobicoke: Lake Shore W near Park Lawn Rd,https://on.windy.com/6d06f
43.624,-79.494,Etobicoke: Gardiner Expwy near Grand Ave,https://on.windy.com/6d06h
43.622,-79.501,Etobicoke: Gardiner Expwy near Royal York Rd,https://on.windy.com/6d06i
